,document_uuid,session_uuid,activity_uuid,activity_id,activity_version,device_timezone,device_timezone_offset_minutes,activity_begin_iso8601_timestamp,trial_begin_iso8601_timestamp,trial_index,response_time_duration_ms,presented_cells,selected_cells,user_dot_actions,user_interference_actions,number_of_correct_dots,quit_button_pressed,device_metadata,study_id,session_id,participant_id,api_key,group,wave
0,0e401d46-283b-49e5-a3c3-d385a094faca,f1ea804a-fe91-4256-9e79-e6132b9dc115,b47f74e7-77d0-4acb-8e29-d29031f77a2d,grid-memory,0.8.4,America/New_York,300,2023-11-29T15:04:00.922Z,2023-11-29T15:04:13.809Z,0.0,4055.0,"[{'row': 2, 'column': 2}, {'row': 2, 'column': 3}, {'row': 3, 'column': 1}]","[{'row': 2, 'column': 2}, {'row': 1, 'column': 2}, {'row': 1, 'column': 3}]","[{'elapsed_duration_ms': 2238, 'action_type': 'placed', 'cell': {'row': 2, 'column': 2, 'tap_x': 12.5, 'tap_y': 42.5}}, {'elapsed_duration_ms': 2588, 'action_type': 'placed', 'cell': {'row': 1, 'column': 2, 'tap_x': 17.5, 'tap_y': 11.5}}, {'elapsed_duration_ms': 2906, 'action_type': 'placed', 'cell': {'row': 1, 'column': 3, 'tap_x': 1.5, 'tap_y': 16.5}}, {'elapsed_duration_ms': 4055, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2872, 'action_type': 'on-target', 'cell': {'row': 5, 'column': 4, 'tap_x': 28.5, 'tap_y': 22.5}}, {'elapsed_duration_ms': 5889.999999999996, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 33.5, 'tap_y': 29.5}}, {'elapsed_duration_ms': 6341.999999999996, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 4, 'tap_x': 33.5, 'tap_y': 19.5}}, {'elapsed_duration_ms': 7520.999999999996, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 4, 'tap_x': 34.5, 'tap_y': 13.5}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15', 'devicePixelRatio': 2, 'screen': {'availHeight': 900, 'availWidth': 1440, 'colorDepth': 24, 'height': 900, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1440}, 'webGlRenderer': 'Apple Inc., Apple GPU'}",demo,None,None,demo,None,None
1,0e401d46-283b-49e5-a3c3-d385a094faca,f1ea804a-fe91-4256-9e79-e6132b9dc115,b47f74e7-77d0-4acb-8e29-d29031f77a2d,grid-memory,0.8.4,America/New_York,300,2023-11-29T15:04:00.922Z,2023-11-29T15:04:13.809Z,0.0,4055.0,"[{'row': 2, 'column': 2}, {'row': 2, 'column': 3}, {'row': 3, 'column': 1}]","[{'row': 2, 'column': 2}, {'row': 1, 'column': 2}, {'row': 1, 'column': 3}]","[{'elapsed_duration_ms': 2238, 'action_type': 'placed', 'cell': {'row': 2, 'column': 2, 'tap_x': 12.5, 'tap_y': 42.5}}, {'elapsed_duration_ms': 2588, 'action_type': 'placed', 'cell': {'row': 1, 'column': 2, 'tap_x': 17.5, 'tap_y': 11.5}}, {'elapsed_duration_ms': 2906, 'action_type': 'placed', 'cell': {'row': 1, 'column': 3, 'tap_x': 1.5, 'tap_y': 16.5}}, {'elapsed_duration_ms': 4055, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2872, 'action_type': 'on-target', 'cell': {'row': 5, 'column': 4, 'tap_x': 28.5, 'tap_y': 22.5}}, {'elapsed_duration_ms': 5889.999999999996, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 33.5, 'tap_y': 29.5}}, {'elapsed_duration_ms': 6341.999999999996, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 4, 'tap_x': 33.5, 'tap_y': 19.5}}, {'elapsed_duration_ms': 7520.999999999996, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 4, 'tap_x': 34.5, 'tap_y': 13.5}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15', 'devicePixelRatio': 2, 'screen': {'availHeight': 900, 'availWidth': 1440, 'colorDepth': 24, 'height': 900, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1440}, 'webGlRenderer': 'Apple Inc., Apple GPU'}",demo,None,None,demo,None,None
2,0ab848e9-bebc-4cd9-b153-f056121282ab,f1ea804a-fe91-4256-9e79-e6132b9dc115,b47f74e7-77d0-4acb-8e29-d29031f77a2d,grid-memory,0.8.4,America/New_York,300,2023-11-29T15:04:00.922Z,2023-11-29T15:04:30.442Z,,,,,,,,True,"{'userAgent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15', 'devicePixelRatio': 2, 'screen': {'availHeight': 900, 'availWidth': 1440, 'colorDepth': 24, 'height': 900, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1440}, 'webGlRenderer': 'Apple Inc., Apple GPU'}",demo,None,None,demo,None,None
3,e43690ab-8141-4b2b-a8b6-0e189d8830b0,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:50:43.084Z,0.0,5396.099999904633,"[{'row': 2, 'column': 3}, {'row': 4, 'column': 3}, {'row': 1, 'column': 2}]","[{'row': 4, 'column': 2}, {'row': 2, 'column': 0}, {'row': 1, 'column': 2}]","[{'elapsed_duration_ms': 2997.0999999046326, 'action_type': 'placed', 'cell': {'row': 4, 'column': 2, 'tap_x': 19.900009155273438, 'tap_y': 39.20001220703125}}, {'elapsed_duration_ms': 4009.7999999523163, 'action_type': 'placed', 'cell': {'row': 2, 'column': 0, 'tap_x': 23.900001525878906, 'tap_y': 24.000091552734375}}, {'elapsed_duration_ms': 4699.399999856949, 'action_type': 'placed', 'cell': {'row': 1, 'column': 2, 'tap_x': 29.5, 'tap_y': 28.399993896484375}}, {'elapsed_duration_ms': 5396.099999904633, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2772.699999809265, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 3, 'tap_x': 32.70001220703125, 'tap_y': 38}}, {'elapsed_duration_ms': 4901.299999952316, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 3, 'tap_x': 29.100006103515625, 'tap_y': 34}}, {'elapsed_duration_ms': 5839.099999904633, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 33.5, 'tap_y': 32.399993896484375}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
4,e43690ab-8141-4b2b-a8b6-0e189d8830b0,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:50:43.084Z,0.0,5396.099999904633,"[{'row': 2, 'column': 3}, {'row': 4, 'column': 3}, {'row': 1, 'column': 2}]","[{'row': 4, 'column': 2}, {'row': 2, 'column': 0}, {'row': 1, 'column': 2}]","[{'elapsed_duration_ms': 2997.0999999046326, 'action_type': 'placed', 'cell': {'row': 4, 'column': 2, 'tap_x': 19.900009155273438, 'tap_y': 39.20001220703125}}, {'elapsed_duration_ms': 4009.7999999523163, 'action_type': 'placed', 'cell': {'row': 2, 'column': 0, 'tap_x': 23.900001525878906, 'tap_y': 24.000091552734375}}, {'elapsed_duration_ms': 4699.399999856949, 'action_type': 'placed', 'cell': {'row': 1, 'column': 2, 'tap_x': 29.5, 'tap_y': 28.399993896484375}}, {'elapsed_duration_ms': 5396.099999904633, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2772.699999809265, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 3, 'tap_x': 32.70001220703125, 'tap_y': 38}}, {'elapsed_duration_ms': 4901.299999952316, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 3, 'tap_x': 29.100006103515625, 'tap_y': 34}}, {'elapsed_duration_ms': 5839.099999904633, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 33.5, 'tap_y': 32.399993896484375}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
5,0a031297-465a-4ee7-a971-be7ec3d49ec3,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:51:01.038Z,1.0,4095.2000000476837,"[{'row': 0, 'column': 3}, {'row': 0, 'column': 0}, {'row': 3, 'column': 3}]","[{'row': 0, 'column': 0}, {'row': 0, 'column': 2}, {'row': 4, 'column': 2}]","[{'elapsed_duration_ms': 1483.3999998569489, 'action_type': 'placed', 'cell': {'row': 0, 'column': 0, 'tap_x': 43.900001525878906, 'tap_y': 32.399993896484375}}, {'elapsed_duration_ms': 2744.7000000476837, 'action_type': 'placed', 'cell': {'row': 0, 'column': 2, 'tap_x': 40.69999694824219, 'tap_y': 30.399993896484375}}, {'elapsed_duration_ms': 3356.899999856949, 'action_type': 'placed', 'cell': {'row': 4, 'column': 2, 'tap_x': 22.699996948242188, 'tap_y': 15.200012207031248}}, {'elapsed_duration_ms': 4095.2000000476837, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2975.7999999523163, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 0, 'tap_x': 24.70000457763672, 'tap_y': 28}}, {'elapsed_duration_ms': 5240.299999952316, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 3, 'tap_x': 27.5, 'tap_y': 25.20001220703125}}, {'elapsed_duration_ms': 5954.899999856949, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 4, 'tap_x': 27.100006103515625, 'tap_y': 30.79998779296875}}, {'elapsed_duration_ms': 6555.199999809265, 'action_type': 'on-target', 'cell': {'row': 7, 'column': 4, 'tap_x': 22.300018310546875, 'tap_y': 22.4000244140625}}, {'elapsed_duration_ms': 7955.899999856949, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 4, 'tap_x': 33.899993896484375, 'tap_y': 24}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
6,e43690ab-8141-4b2b-a8b6-0e189d8830b0,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:50:43.084Z,0.0,5396.099999904633,"[{'row': 2, 'column': 3}, {'row': 4, 'column': 3}, {'row': 1, 'column': 2}]","[{'row': 4, 'column': 2}, {'row': 2, 'column': 0}, {'row': 1, 'column': 2}]","[{'elapsed_duration_ms': 2997.0999999046326, 'action_type': 'placed', 'cell': {'row': 4, 'column': 2, 'tap_x': 19.900009155273438, 'tap_y': 39.20001220703125}}, {'elapsed_duration_ms': 4009.7999999523163, 'action_type': 'placed', 'cell': {'row': 2, 'column': 0, 'tap_x': 23.900001525878906, 'tap_y': 24.000091552734375}}, {'elapsed_duration_ms': 4699.399999856949, 'action_type': 'placed', 'cell': {'row': 1, 'column': 2, 'tap_x': 29.5, 'tap_y': 28.399993896484375}}, {'elapsed_duration_ms': 5396.099999904633, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2772.699999809265, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 3, 'tap_x': 32.70001220703125, 'tap_y': 38}}, {'elapsed_duration_ms': 4901.299999952316, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 3, 'tap_x': 29.100006103515625, 'tap_y': 34}}, {'elapsed_duration_ms': 5839.099999904633, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 33.5, 'tap_y': 32.399993896484375}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
7,0a031297-465a-4ee7-a971-be7ec3d49ec3,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:51:01.038Z,1.0,4095.2000000476837,"[{'row': 0, 'column': 3}, {'row': 0, 'column': 0}, {'row': 3, 'column': 3}]","[{'row': 0, 'column': 0}, {'row': 0, 'column': 2}, {'row': 4, 'column': 2}]","[{'elapsed_duration_ms': 1483.3999998569489, 'action_type': 'placed', 'cell': {'row': 0, 'column': 0, 'tap_x': 43.900001525878906, 'tap_y': 32.399993896484375}}, {'elapsed_duration_ms': 2744.7000000476837, 'action_type': 'placed', 'cell': {'row': 0, 'column': 2, 'tap_x': 40.69999694824219, 'tap_y': 30.399993896484375}}, {'elapsed_duration_ms': 3356.899999856949, 'action_type': 'placed', 'cell': {'row': 4, 'column': 2, 'tap_x': 22.699996948242188, 'tap_y': 15.200012207031248}}, {'elapsed_duration_ms': 4095.2000000476837, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 2975.7999999523163, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 0, 'tap_x': 24.70000457763672, 'tap_y': 28}}, {'elapsed_duration_ms': 5240.299999952316, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 3, 'tap_x': 27.5, 'tap_y': 25.20001220703125}}, {'elapsed_duration_ms': 5954.899999856949, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 4, 'tap_x': 27.100006103515625, 'tap_y': 30.79998779296875}}, {'elapsed_duration_ms': 6555.199999809265, 'action_type': 'on-target', 'cell': {'row': 7, 'column': 4, 'tap_x': 22.300018310546875, 'tap_y': 22.4000244140625}}, {'elapsed_duration_ms': 7955.899999856949, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 4, 'tap_x': 33.899993896484375, 'tap_y': 24}}]",1.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
8,5c744949-53f7-4b0c-8568-9b9ee5ffe300,27f2e8fd-6fa1-46bb-9242-c16041a91421,269c943c-4ca1-4294-8de4-46c5a3667af0,grid-memory,0.8.4,America/New_York,300,2023-11-29T19:50:20.696Z,2023-11-29T19:51:17.704Z,2.0,3223.2000000476837,"[{'row': 4, 'column': 0}, {'row': 3, 'column': 4}, {'row': 4, 'column': 1}]","[{'row': 3, 'column': 4}, {'row': 4, 'column': 0}, {'row': 4, 'column': 1}]","[{'elapsed_duration_ms': 1313.7999999523163, 'action_type': 'placed', 'cell': {'row': 3, 'column': 4, 'tap_x': 47.899993896484375, 'tap_y': 25.20001220703125}}, {'elapsed_duration_ms': 1962.2000000476837, 'action_type': 'placed', 'cell': {'row': 4, 'column': 0, 'tap_x': 19.5, 'tap_y': 23.20001220703125}}, {'elapsed_duration_ms': 2469.7999999523163, 'action_type': 'placed', 'cell': {'row': 4, 'column': 1, 'tap_x': 47.10005187988281, 'tap_y': 28.00006103515625}}, {'elapsed_duration_ms': 3223.2000000476837, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 1580.2999999523163, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 3, 'tap_x': 30.300018310546875, 'tap_y': 20.800018310546875}}, {'elapsed_duration_ms': 2255, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 4, 'tap_x': 19.5, 'tap_y': 24.00006103515625}}, {'elapsed_duration_ms': 2887.899999856949, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 4, 'tap_x': 30.300018310546875, 'tap_y': 29.200042724609375}}, {'elapsed_duration_ms': 4104.700000047684, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 2, 'tap_x': 35.10005187988281, 'tap_y': 30.00006103515625}}, {'elapsed_duration_ms': 4806.899999856949, 'action_type': 'on-target', 'cell': {'row': 7, 'column': 3, 'tap_x': 29.899993896484375, 'tap_y': 36.00006103515625}}, {'elapsed_duration_ms': 6624, 'action_type': 'on-target', 'cell': {'row': 7, 'column': 4, 'tap_x': 32.300018310546875, 'tap_y': 36.4000244140625}}, {'elapsed_duration_ms': 7179.899999856949, 'action_type': 'on-target', 'cell': {'row': 5, 'column': 4, 'tap_x': 29.100006103515625, 'tap_y': 22.00006103515625}}, {'elapsed_duration_ms': 7945.899999856949, 'action_type': 'on-target', 'cell': {'row': 5, 'column': 1, 'tap_x': 27.900009155273438, 'tap_y': 30.80001831054687}}]",3.0,False,"{'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 2.5, 'screen': {'availHeight': 912, 'availWidth': 1536, 'colorDepth': 24, 'height': 960, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 1536}, 'webGlRenderer': 'Google Inc. (Intel), ANGLE (Intel, Intel(R) UHD Graphics (0x00009A60) Direct3D11 vs_5_0 ps_5_0, D3D11)'}",demo,None,None,demo,None,None
9,fdb41a8f-75cc-4fa6-b24d-42e83debc9b7,25b31ae2-145c-4f8c-8ae0-69f7335b109a,cf4ae271-9ad0-4f20-afa8-307be36c9003,grid-memory,0.8.4,America/New_York,300,2023-11-29T21:45:06.021Z,2023-11-29T21:45:09.423Z,0.0,2221.199999988079,"[{'row': 3, 'column': 3}, {'row': 3, 'column': 1}, {'row': 3, 'column': 2}]","[{'row': 3, 'column': 1}, {'row': 3, 'column': 2}, {'row': 3, 'column': 3}]","[{'elapsed_duration_ms': 1104.0999999940395, 'action_type': 'placed', 'cell': {'row': 3, 'column': 1, 'tap_x': 31.96484375, 'tap_y': 24.69140625}}, {'elapsed_duration_ms': 1351.8999999910593, 'action_type': 'placed', 'cell': {'row': 3, 'column': 2, 'tap_x': 14.1328125, 'tap_y': 36.32421875}}, {'elapsed_duration_ms': 1635.0999999940395, 'action_type': 'placed', 'cell': {'row': 3, 'column': 3, 'tap_x': 8.4609375, 'tap_y': 31.777343749999996}}, {'elapsed_duration_ms': 2221.199999988079, 'action_type': 'done', 'cell': None}]","[{'elapsed_duration_ms': 1502.2000000029802, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 2, 'tap_x': 27.08203125, 'tap_y': 27.6953125}}, {'elapsed_duration_ms': 1953.5999999940395, 'action_type': 'on-target', 'cell': {'row': 3, 'column': 0, 'tap_x': 23.078125, 'tap_y': 20.66796875}}, {'elapsed_duration_ms': 3203.8999999910593, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 0, 'tap_x': 12.98828125, 'tap_y': 20.484375}}, {'elapsed_duration_ms': 3735.5, 'action_type': 'on-target', 'cell': {'row': 1, 'column': 3, 'tap_x': 36.60546875, 'tap_y': 18.5625}}, {'elapsed_duration_ms': 4556.70000000298, 'action_type': 'on-target', 'cell': {'row': 0, 'column': 2, 'tap_x': 28.5078125, 'tap_y': 29.703124999999996}}, {'elapsed_duration_ms': 5768.20000000298, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 3, 'tap_x': 28.6640625, 'tap_y': 11.2109375}}, {'elapsed_duration_ms': 6170.79999999702, 'action_type': 'on-target', 'cell': {'row': 2, 'column': 1, 'tap_x': 35.84765625, 'tap_y': 27.4375}}, {'elapsed_duration_ms': 6570.70000000298, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 1, 'tap_x': 27.02734375, 'tap_y': 12.98828125}}, {'elapsed_duration_ms': 6869.899999991059, 'action_type': 'on-target', 'cell': {'row': 4, 'column': 0, 'tap_x': 46.20703125, 'tap_y': 28.16015625}}, {'elapsed_duration_ms': 7285.70000000298, 'action_type': 'on-target', 'cell': {'row': 6, 'column': 0, 'tap_x': 33.95703125, 'tap_y': 11.41796875}}]",3.0,False,"{'userAgent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36', 'devicePixelRatio': 1, 'screen': {'availHeight': 1440, 'availWidth': 3440, 'colorDepth': 24, 'height': 1440, 'orientation': {'type': 'landscape-primary', 'angle': 0}, 'pixelDepth': 24, 'width': 3440}, 'webGlRenderer': 'Google Inc. (Apple), ANGLE (Apple, Apple M2 Pro, OpenGL 4.1)'}",demo,None,None,demo,None,None
